Date,Agent,Place,Type,Deaths,T-I,Description / Reference,Source
1964,Typhoid Fever,Japan,Biological,4,C,Dr. Mitsuru Suzuki infected four of his colleagues with dysentery from an intentionally contaminated cake. Police investigations linked Suzuki to a number of typhoid and dysentery outbreaks at his place of work between 1964 and 1966. , For an excellent overview of the case see Seth Carus Bioterrorism and Biocrimes: The Illicit Use of Biological Agents Since 1900 Center for Counterproliferation Research National Defense University Washington D.C. pp.61-63
1969,Unknown Poison,Peru,Chemical,8,C,"A man identified in newspaper reports as ""M. Soto"" kills himself and seven others who attended a dinner at his house. ", The New York Times January 11 1969
1970,Ascaris suum,Canada,Biological,0,C,Eric Kranz contaminated his roommates’ food with parasitical Acaris suum. , See Seth Carus Bioterrorism and Biocrimes: The Illicit Use of Biological Agents Since 1900 Center for Counterproliferation Research National Defense University Washington D.C. p.61
1971,Thallium,UK,Chemical,3,C,Graham Young was a serial killer active from 1961-2 1971 Antimony was used in earlier attacks. , John Harris Trestrail III Forensic Science and Medicine: Criminal Poisoning (2nd Ed.) Humana Press.
1971,Arsenic,USA,Chemical,1,C ,Judias Buenano poisoned her husband by lacing his food with arsenic. ," Mireya Navarro ""Execution Without All the Attention"" The New York Times February 10 1998"
1973,Arsenic,USA,Chemical,1,C,Blanche Taylor Moore killed her first husband with arsenic (see 1986 and 1989);17 ," Williard Cates Jr. & Harry D. Silsby ""Diphenylhydantoin Intoxication in a Group of Military Aviators: A Case Report"" Toxicology 1(1973) pp.377-82"
1974,Paraquat,UK,Chemical,1,C,Anne Marie Lindsay poisoned her husband by putting Gramoxone-brand herbicide in his dinner (containing paraquat) on July 4 1974. ," See Paul Nowell ""Woman Convicted in Fatal Arsenic Poisoning"" AP November 15 1990; AP ""Judge denies request for new trial for woman on NC death row"" February 5 2004"
1974,Cyanide,USA,Chemical,1,C,"Ronald Clark O'Bryan murdered his son by putting cyanide in ""plastic Giant Pixy Stix a straw-like container with powdered sugar inside in hopes of collecting $30 000 in insurance."" "," Raymond Fraser ""Stew with a deadly dash"" The Herald (Glasgow) July 5 1995"
1975,Arsenic,USA,Chemical,1,C,Audrey Marie Hilley murdered husband by lacing food with arsenic. , AP October 31 1977; John Harris Trestrail III Forensic Science and Medicine: Criminal Poisoning (2nd Ed.) Humana Press.
1976,Thallium,USA,Chemical,3,C,George W. Hanei murdered his father and was implicated in earlier deaths. ," Telegraph (Australia) ""Strange Twist to the Mystery of a Killer Housewife"" March 2 1987"
1976,Unknown Poison,USA,Chemical,0,C,Stephen Grant Morton placed tainted products on store shelves in Colorado Springs CO and Houston TX. Also involved with sending live ticks and letter bombs over a two year period. ," The New York Times ""Illinois Man Guilty in Father's Death"" January 23 1978; AP ""Illinois' first woman elected coroner retires after 28 years"" December 1 2000; John Harris Trestrail III Forensic Science and Medicine: Criminal Poisoning (2nd Ed.) Humana Press."
1977,Atropine,France,Chemical,1,C,Roland Roussel doctored a wine bottle with atropine. , AP July 15 1977
1977,Arsenic,USA,Chemical,4,C,Velma Bullard Barfield  gave rat and ant poison containing arsenic to four people. Placed in husband's beer and ice tea. In addition she murdered her mother  and two elderly people for whom she worked for. 24," UPI ""Agatha Christie Book Underlined: Poisoner Inspired by Murder Tale"" January 3 1978."
1977,Cyanide,USA,Chemical,2,C,Barbara Hoffman murdered one man in Dec 1977 and another in March 1978 in Madison WI. Cyanide in food. ," AP December 2 1978; Dennis Patterson ""U.S. Supreme Court Chief Justice Stays Barfield Execution"" AP July 2 1984; Kathy Sawyer ""Woman Executed for Murder;'Death Row Granny' Dies in North Carolina' The Washington Post November 2 1984; Also named as ""Velma Margie Barfield"" in The New York Times ""Woman Scheduled to Die Dec.12"" November 29 1980"
1978,Mercury,Europe,Chemical,0,T,"A group calling itself the ""Arab Revolutionary Army-Palestine Command"" injected mercury into oranges; oranges found in West Germany Netherlands and Sweden. The oranges were apparently poisoned at Rotterdam port. "," See: Max Haines ""Web of Deception"" The Toronto Star January 19 1997; AP ""Double Murder Trial: Sex Poison And Insurance Policies"" June 26 1980; AP June 30 1980."
1978,Arsenic,USA,Chemical,0,C,Over a period of time Patricia Distel poisoned her husband Melvin Distel in an attempt to kill him. She was arrested in 1979 after attempting to finish the job with a crowbar. ," Dusko Doder ""Terrorists Poison Israeli Oranges"" The Washington Post February 2 1978; The Globe and Mail (Canada) ""Origin of fruit uncertain Germans find more tainted oranges"" February 3 1978; AP February 3 1978; Time Magazine ""Strange Fruits"" February 13 1978."
1978,Dimethyl Nitrosamine,USA,Chemical,2,C,Steven Roy Harper stole the carcinogenic dimethyl nitrosamine from the lab where he worked and contaminated his neighbours’ beverages. , AP October 15 1979
1979,Arsenic,Australia,Chemical,1,C,Emily Perry killed 3; she was alleged to have killed more in the 1960s but was never successfully prosecuted. ," AP October 6 1979; The Washington Post ""Rocket Fuel Poisoning"" October 7 1979; AP November 8 1979;"
1979,Arsenic,USA,Chemical,1,C ,LaVerne O'Bryan killed her husband John O'Bryan by tainting coffee with arsenic and poisoned her sister-in-law. Suspected of murdering a previous husband in same manner. ," Graham Hunter ""New bid by Perry to avoid extradition"" The Advertiser January 15 1986"
1979,Mercury,USA,Chemical,0,C,“Four Isleton Elementary School students were convicted Monday in Sacramento County Juvenile Court of trying to kill teacher Winston Jones on April 24 because they were angry over failing grades. Authorities said the students admitted putting mercury from a thermometer in Jones' coffee thermos.” Suspects unnamed. ," AP ""Prosecution In Arsenic Murder Trial Rests Case"" July 25 1980"
1979,Prescription Drug,USA,Chemical,0,C,“Two brothers aged 14 and 17 and a 15-year-old boy were arrested for investigation of a possible conspiracy to poison Clarise Rogers 50 operator of a licensed group home for boys in Sacramento. The brothers were accused of putting prescription drugs in the kettle Mrs. Rogers used to boil water for instant coffee.” Suspects unnamed. , AP June 6 1979
1980,Unknown Poison,UK,Chemical,0,S,Two children of a Libyan expat living in England Farag Ghesouda were seriously injured after eating poisoned peanuts (the dog died) planted by a Libyan airlines employee in an assassination attempt. , AP June 6 1979
1980,Arsenic,USA,Chemical,3,C,Charles Albanese killed his father and injured his brother by lacing their cookies with arsenic; murdered his mother and mother-in-laws by putting arsenic on their desserts at a restaurant. ," See: UPI ""Police fear children new target of Libyan death squad"" November 13 1980; Reuters "" A Libyan Is Charged in England With Trying to Kill an Expatriate"" June 23 1981."
1980,Cyanide,USA,Chemical,0,C,3 Children in South Lake Tahoe California became ill after drink kool aid spiked with cyanide. Reports are unclear if the kool aid package was tampered or if the cyanide was directly administered into the mixed drinks. ," UPI ""Businessman held in poisoning deaths of father two in-laws"" November 20 1981; AP ""Businessman Convicted in Arsenic Murders"" May 18 1982; David Dishneau ""Man Executed for Killing Three Relatives with Arsenic"" AP September 20 1995"
1980,Cyanide,USA,Chemical,0,C,Richard Quincy Williams placed cyanide in pickles and teriyaki sauce in at least two supermarkets in California as part of an extortion plot. ," AP December 31 1980; UPI December 30 1980; ""New Tests Show Cyanide was in Kool-Aid Packet"" AP January 7 1981."
1980,Rat Poison,USA,Chemical,0,C,In Marion County Oregon two brothers 15 & 17 yrs old attempted to kill their parents by putting rat poison and black gunpowder in their coffee. ," AP ""Man Accused in Poison Pickle Extortion Scheme"" April 4 1980"
1981,Thallium,Israel,Chemical,0,S,Thallium poisoning by Stasi; Peter Haak (some reports put his name as Haack) laced meatballs with rat poison in order to kill Wolfgang Welsch his wife and two children.," AP ""Parents Say Sons Repeatedly Tried To Kill Them"" February 2 1980."
1981,Paraquat,UK,Chemical,1,C,Susan Barber poisoned her husband with a pesticide Gramoxone containing paraquat. ," Deutsche Presse-Agentur ""German who attempted to poison family of three gets jail term"" November 28 1994"
1981,Unknown Poison,UK,Chemical,0,C/Ex,May 1981 - Jars of food contaminated in three stores in Northern England in an extortion plot. ," Max Haines ""Getting Rid of Michael"" The Toronto Sun January 9 2000"
1982,Weed Killer,Japan,Chemical,1,C,At a farm co-op meeting in Gumma Prefecture Masako Hayano laced with whisky with weed killer. ," See: Ruth Glendhill ""Poison Letter Not Seen for a Week"" The Times (London) July 2 1987"
1982,Cyanide,USA,Chemical,1,C,A mafia hitman/serial killer Richard Kuklinski put cyanide in the hamburger of Gary Smith. 42," Mainichi Daily News ""Waiwai - Princess of Poison"" November 15 1998"
1982,Phosphorous-32 (P-32),USA,Radiological,0,C,Drops of a liquid radioactive form of phosphorous P-32 were found sprinkled on some candy and two pieces of bread… The candy was eaten by a secretary and the bread by a microbiologist. The amount they consumed was not considered dangerous but both are being kept under medical supervision. ," UPI ""'Iceman' convicted in murders will Appeal"" March 17 1988"
1983,Cyanide,USA,Chemical,1,C ,David A. Dowler killed Lisa Blythe Krieg Texas with cyanide. See 1986 for other incident. ," UPI ""University says radiation exposure may be deliberate"" February 23 1982; UPI ""Contamination puzzles Brown officials"" March 22 1982; AP ""Brown Cited for Violations in Handling of Radioactive Materials"" June 10 1982"
1984,Arsenic,Australia,Chemical,1,C ,Lorraine Alice Moss poisoned her husband Leonard John Moss of Bendigo (Australia) over a two-year period by putting arsenic in his food. ," Holden Lewis ""Authorities Work To Assemble Murder Cases Against Seemingly Harmless Man"" AP November 8 1987"
1984,Strychnine,Germany ,Chemical,0,C,Milan Nekuda living in Australia sent a box of chocolates to his aunt living in Germany. Her friend opened the chocolates and shared them with six people. Four spat them out. Of the two injured one spent six days in a coma. ," The Advertiser (Australia) ""Man given arsenic over period: doctor"" August 21 1986"
1984,Insecticide,Japan,Chemical,0,C/Ex,Four cans of soft drinks found contaminated in the doors of four vending machines in Yokohama apparently as part of an extortion plot (a newspaper received a letter in relation to the case). ," Jenny Cooke ""Poison-Candy Man 'Threatened'"" Sydney Morning Herald February 3 1988; Courier-Mail (Australia) ""Man 'Forced into Bid to Kill Aunt"" February 3 1988"
1984,Sodium Cyanide,Japan,Chemical,0,C/Ex,Four people unnamed were arrested in connection with the spiking of a bottle of soy sauce and one of vinegar at a restaurant in Tokyo. ," AP ""Soft Drinks Containing Insecticide Found in Vending Machines"" December 26 1984"
1984,Weed Killer,UK,Chemical,0,T,Animal Liberation Front activists Injected into a turkey weed-killer contained mercury at a store in Grimsby; threat called in. ," AP ""Charge Couple With Trying To Extort Money From Brewery"" January 16 1985."
1984,Antidepressants,USA,Chemical,0,C,Susan Jo Barclay attempted murder of four children by mother. Put anti-depressants in the children's food. She then called medical personnel. ," Michael Morris ""Supermarket turkey injected with poison"" The Guardian (London) December 15 1984; UPI ""Animal rights activists arrested for poisoning turkey"" December 16 1984"
1984,Arsenic,USA,Chemical,0,C ,Michael Swango working as a doctor put arsenic-laced ant poison into co-workers snacks. Swango was suspected at the time in the deaths of 12 patients. Swango was under a constant cloud of suspicion changing names hospitals and even moving to Zimbabwe and Saudi Arabia. He was eventually tried and convicted of murder in 2000. He's suspected in the deaths of at least 30 people. ," AP ""Mother Charged With Trying to Poison Children"" June 28 1984"
1984,Cyanide,USA,Chemical,1,C,Thomas Dresser was found dead in Manitowac having consumer a Coca-Cola that was tainted with cyanide. ," See: Bob Springer ""Witness: Doctor Accused of Poisoning Snacks Dreamed of Gore"" AP April 23 1985"
1984,Pesticide,USA,Chemical,0,C,"A box of ""Shake n Bake"" was found to have been tampered at a store in Slidell LA. Tests showed it had been contaminated with an agricultural pesticide called Disulfoton. "," AP ""Source of Poison in Death Case Sought"" May 14 1984"
1984,Salmonella typhimurium,USA,Biological,0,T,Members of the Rajneeshees cult poisoned salad bars at a number of restaurants. Carus has an excellent overview of the case and other incidents associated with the cult. ," UPI ""Pesticide found in stuffing mix"" May 8 1984"
1984,Salmonella typhimurium,USA,Biological,0,T,Members of the Rajneeshees cult poisoned drinking water of two men. , Seth Carus Bioterrorism and Biocrimes: The Illicit Use of Biological Agents Since 1900 Center for Counterproliferation Research National Defense University Washington D.C. pp.50-58
1984,Sulfuric Acid,USA,Chemical,1,C,Ricky Irby and Sheila Smith laced their infant's baby formula with sulfuric acid apparently in an attempt to get money from the formula's manufacturer. The baby suffered extensive internal injuries and died 27 months later. , Seth Carus Bioterrorism and Biocrimes: The Illicit Use of Biological Agents Since 1900 Center for Counterproliferation Research National Defense University Washington D.C. pp.50-58
1985,Cyanide,Japan,Chemical,0,C/Ex,"Extortionist group/individual self-termed ""The Man with 21 Faces"" conducted an extortion campaign against Japanese sweets manufacturers starting in 1984. On February 12 1985 a number of chocolate bars spiked with cyanide were found in public areas in Tokyo and Nagoya. The group/individual concurrently sent letters to the manufacturers threatening to poison more of their products if demands were not met. Newspaper reports indicate that at least some of the chocolate bars had been labelled by the extortionist(s) with poison warning stickers saying ""Danger contains poison. You'll die if you eat this"". At least five other packages of sweets were found labelled ""Not poisoned"". The individual/group threatened at least 30 food companies starting in 1984.  "," Robert Lee Zimmer ""Parents Charged With Murder in Acid Poisoning of Baby"" AP June 2 1989; The New York Times ""Father Is Found Guilty Of Poisoning Baby Son"" May 22 1990; UPI ""Mother gets 60 years for poisoning baby"" July 20 1990"
1985,Cyanide,USA,Chemical,1,C,Walter L. Williams a police officer obtained cyanide from a vendor by telling them it was for official business then used it to murder his wife. He was suspected in the death of his mother-in-law as well. ," See: AP ""Extortionists Leave At Least Two Cyanide-Laced Chocolate Bars"" February 12 1985; Japan Economic Newswire ""Extortionists Leave Poison-Laced Sweets in Tokyo Nagoya"" February 13 1985; AP ""Valentine Chocolate Still Favored Despite Poison Threat"" February 14 1985; AP ""Extortionists Leave At Least Two Cyanide-Laced Chocolate Bars"" February 12 1985; UPI ""Extortion Group Poisons Chocolate Bars"" March 31 1986."
1986,Rat poison,Australia,Chemical,0,C/Ex,Edward John Dowling placed various jars of baby food tainted with either rat poison or caustic soda on the shelves of supermarkets in Brisbane and Ipswich Queensland Australia between May 1985 and November 1986. The extortionist phoned in a number of threats to local newspapers warning that he had placed random jars of tainted baby food in supermarkets. The campaign resulted in thousands of jars of baby food being pulled from shelves. ," Houston Chronicle ""Policeman charged with bigamy death by poison"" 19 June 1985"
1986,Cyanide,Japan,Chemical,0,C/Ex,"Three cartons of milk and yogurt products were found in a Tokyo supermarket tainted with cyanide. Stickers on the product said ""Snow Brand causes death"" (the manufacturer). The cyanide was injected into the cartons with a syringe. A letter was sent to the manufacturer demanding they withdraw their products from store shelves. "," The Daily Telegraph (Australia) ""Panic Over Baby Food"" November 20 1986; The Daily Telegraph (Australia) ""Baby Food Poison Arrest"" December 18 1986; Courier-Mail (Australia) ""Greed Baby Poison Motive: Crown"" September 29 1987"
1986,Insecticide,Japan,Chemical,0,C/Ex,"Copycat group called ""The Joker Bandits"" left six chocolate bars in three supermarkets in Tokyo with stickers saying ""''danger contains poison'"" between March 24-27 1986. Two were actually tainted with non-lethal doses of insecticide. The act was accompanied by an extortion letter to the manufacturer. "," AP ""Cyanide Found in Yogurt Coffee Drink"" May 10 1986."
1986,Arsenic (insecticide),USA,Chemical,0,C,"Myrle Rovenolt ""a mother of eight who allegedly laced her husband's drinks with bug killer has been charged with attempted homicide police said Thursday."""," UPI ""Extortion group poisons chocolate bars"" March 31 1986"
1986,Arsenic,USA,Chemical,1,C,Joan Hensley Davis was charged with killing her husband by lacing his food with arsenic. No information if found guilty in court. ," UPI ""Mother of eight charged with poisoning husband"" January 7 1988"
1986,Arsenic,USA,Chemical,1,C ,Blanche Taylor Moore. In 1986 killed her boyfriend. Serial poisoner killed two and injured one over a 16 yr period (see 1973 and 1989).," AP ""Woman Charged With Poisoning Husband"" February 20 1988"
1986,Cyanide,USA,Chemical,1,C,Someone spiked a box of Lipton's Cup-A-Soup dry soup mix with cyanide killing a customer. ," See Paul Nowell ""Woman Convicted in Fatal Arsenic Poisoning"" AP November 15 1990; AP ""Judge denies request for new trial for woman on NC death row"" February 5 2004"
1986,Cyanide,USA,Chemical,1,C,David A. Dowler killed Juan Antonio Casillas with cyanide; Texas. See 1983. ," James Barron ""Jerseyan is Poisoned by Cyanide in Soup; Tampering is Cited"" The New York Times September 4 1986; Mary Helen Gillespie ""Search Continues for Cyanide Killer"" AP September 6 1986."
1986,Unidentified Substance,USA,Chemical,0,C ,Glenwood D. Brogen a student put unidentified liquid in teacher's coffee - possibly prank gone bad - liquid probably a cleaning solution. Teacher treated for 3rd degree burns to mouth and throat. ," Holden Lewis ""Authorities Work To Assemble Murder Cases Against Seemingly Harmless Man"" AP November 8 1987"
1987,Sheep Dip,Australia,Chemical,0,C,Sheep dip was placed in the water supply of a Sydney rehabilitation centre for mental patients. ," Lisa Leff ""Maryland Student Charged With Trying to Poison Teacher"" Washington Post October 23 1986"
1987,Unknown Poison,Japan,Chemical,0,C/Ex,In September poisoned chocolates were found in 5 schools in Kagawa prefecture and in Tokushima schools. ," The Telegraph (Australia) ""Five Sick after Poison Attack"" September 10 1987"
1987,Unknown Poison,Philippines,Chemical,19,T,Policemen on a run in Zamboanga were allegedly given water spiked with an unidentified poison. ," See: AP ""Poisoned Chocolates Found Near Playground"" April 4 1988"
1987,Arsenic & Paraquat,UK,Chemical,0,C,June. Same store in Edinburgh as glass. - Cartons of grapefruit juice yogurt etc spiked with arsenic and paraquat weed killer. ," The New York Times ""Filipino Recruits Die; Poisoning Is Charged"" September 7 1987; Keith B. Richburg ""Poison Eyed In 19 Deaths In Philippines; 140 Other Soldiers Reportedly Taken Ill"" The Washington Post September 7 1987."
1987,Glass ,UK,Physical Contaminate Agent,0,C,June. Ground glass put in coleslaw at Safeways Edinburgh. ," See: AP ""Police Say Extortionist put Glass and Poison in Food"" August 15 1987. Also: "" The contaminated containers bore red warning stickers"" The Times (London) ""Stores alert after glass and poison found in food"" June 22 1987"
1987,Glass,UK,Physical Contaminate Agent,0,C,July. Glass found in coleslaw at a Safeways in Glasgow related?73 ," See: Ruth Glendhill ""Poison Letter Not Seen for a Week"" The Times (London) July 2 1987; AP ""Police Say Extortionist put Glass and Poison in Food"" August 15 1987. Also see: ""The contaminated containers bore red warning stickers"" The Times (London) ""Stores alert after glass and poison found in food"" June 22 1987. More attacks? : FIND - ""Safeway is the third victim this year of supermarket poison plots. Sainsbury's and Marks and Spencer were the other victims."" The Times (London) ""Stores alert after glass and poison found in food"" June 22 1987"
1987,Unknown,UK,Unknown,0,C,August. Man taken ill after eating tampered yogurt from an Asda in Reading. ," See: AP ""Police Say Extortionist put Glass and Poison in Food"" August 15 1987"
1987,Atropine / Pilocarpine Hydrochloride,USA,Chemical,0,C,“Dr. [John] Buettner-Janusch sent one box of poison-laced candy to the Westchester County home of Chief Judge Charles L. Brieant who had sent him to prison for his 1980 drug conviction. The judge's wife Virginia was hospitalized after eating some of the chocolates. Another box went to Dr. J. Bolling Sullivan an associate professor of biochemistry at Duke University's marine laboratory in Beaufort N.C. His wife Ashley and their daughter Ann became ill from the candy.” Sent two other boxes to former colleagues. ," See: AP ""Police Say Extortionist put Glass and Poison in Food"" August 15 1987"
1987,Cyanide,USA,Chemical,0,C,A Yugoslavian national and former Princeton University graduate student [Dragoljob S. Cetkovic] confessed today to putting a cyanide-laced tea bag in a Princeton Township supermarket last month...that he had placed the bag at the Super Fresh market on Feb. 10 and then called the store to tell employees about the tainted product. ," Arnold H. Lubasc ""Poison Candy Brings 40-Year Prison Term"" The New York Times July 15 1987."
1987,Rat Poison,USA,Chemical,0,C,Two teenage girls allegedly laced their parents' food with rat poison as part of a plan to run away from home ''and make sure there was no one to follow them'' authorities said Monday...The Schaumburg girl allegedly laced her parents food with commercial rat poison for several days last week. ," The New York Times ""Ex-Princeton Student Held In Cyanide-Tampering Case"" March 24 1987"
1987,Rat Poison,USA,Chemical,0,C,A 16-year-old west Marion County boy was arrested Thursday morning and charged with attempted murder for allegedly trying to poison a young woman he was infatuated with...The boy is accused of putting a pesticide called Co-ral into a partly full milk jug to poison a 23-year-old acquaintance. ," UPI ""Teens plot to poison parents"" February 2 1987"
1987,Various,USA,Chemical,24,C,A serial killer Donald Harvey was charged with 24 homicides over a 15 yr period but confessed to 50 (some accounts say 70). Various methods were used but included lacing food and drink of his victims with cyanide or arsenic. In one case he gave his neighbour coffee laced with a hepatitis bacterium. ," St. Petersburg Times (Florida) ""Boy charged with attempted murder"" December 11 1987"
1988,Strychnine,Australia,Chemical,1,C,Maxine Byram laced a can of beer at a party. ," John Nolan ""Former Nurse's Aide Sentenced for Mass Killings"" AP August 18 1987; David S. Hilzenrath ""Orderly Served Death to Patients"" The Washington Post August 21 1987."
1988,Unknown Poison,Italy,Chemical,0,C/T,Grapefruit in the Rome region were found to be injected with a poison. Grapefruit allegedly from Israel. ," Courier-Mail (Australia) ""Life Jail for Poison Murderer"" May 16 1989"
1988,Potassium Cyanide,Japan,Chemical,0,C/Ex,March 24: Police found 21 tainted chocolates at a school near Itano. ," The Globe and Mail (Canada) ""Roman Grapefruit contained poison"" April 27 1988"
1988,Unknown Poison,Japan,Chemical,0,C/Ex,Three pieces of poisoned chocolate were found near a shrine and a playground. ," See: AP ""Poisoned Chocolates Found Near Playground"" April 4 1988"
1988,Unknown,Sri Lanka,Chemical?,7,C?,A widow killed seven of her children and committed suicide in northern Sri Lanka after she was harassed for money by two sons-in-law a newspaper reported Friday...The Sun newspaper did not give the identity of the woman but said she fed her children poison. ," AP ""Poisoned Chocolates Found Near Playground"" April 4 1988"
1988,Thallium,UK,Chemical,1,S,Abdullah Rahim Sharif Ali was allegedly poisoned by thallium put in his food by Iraqi intelligence agents in London. ," AP ""Mother Kills Seven Children and Commits Suicide"" December 16 1988."
1988,Arsenic,USA,Chemical,0,C,Flora Crittenden poisoned her husband James Crittenden over several years by spiking his food with arsenic. 86," Stewart Tendler and Hazhir Teimourian ""Death squad fears after poisoning of Iraq exile"" The Times (London) January 22 1988; Stewart Tendler ""Secret agents suspected of poisoning"" The Times (London) January 23 1988; Stewart Tendler ""Poisoned Iraqi 'a spy for Baghdad'"" The Times (London) February 3 1988."
1988,Arsenic / Lead,USA,Chemical,0,C,Mentally disturbed woman Laurie Dann in Winnetka IL.  sent 29 packets of juice and food contaminated with arsenic or lead to various people before going on a shooting rampage killing a child and injuring six others before shooting herself. ," AP ""Husband Poisoned By Wife Asks Judge To Free Her"" September 14 1988; AP ""Wife Sentenced To Probation In Poisoning of Husband"" October 29 1988"
1988,Cyanide / Needles,USA,Chemical,0,C,Possible extortion. Over a period of days cartons of juice were found in three supermarkets with syringe needles in the cartons and stickers warning of poison. Tests for cyanide were inconclusive. ," See: AP ""The Tragedy of Laurie Dann: 'She Wasn't the Monster She Turned Out to Be'"" July 12 1988"
1988,Insecticide,USA,Chemical,0,C,A 13-year-old girl who police say last week put roach poison in her mother's soup was arrested Thursday and charged in the incident. ," See: AP ""Police Find Third Orange Juice Carton Tampered With in Los Angeles Area"" July 7 1988."
1988,Lye,USA,Chemical,0,C,Three girls accused of conspiring to kill an assistant principal by putting lye in his coffee… On Feb. 25 Vice Principal Robert Espelien became suspicious when he saw a brownish-tan substance which tests later showed was lye floating in his coffee cup. Espelien did not drink the coffee. ," St. Petersburg Times (Florida) ""Girl charged with poisoning mother's soup"" March 6 1988"
1988,Thallium,USA,Chemical,1,C,George J. Trapal placed thallium-containing rat poison in the coke bottles of a neighbour. ," AP ""Junior High Girls Admit Trying To Give Poison To Vice Principal"" May 3 1988"
1989,Parathion,Israel,Chemical,0,C,The employee Ziad Tumar of a falafel stand in Jerusalem laced the cabbage of a falafel sandwich with insecticide containing parathion. Two men fell ill one seriously. ," Leslie Brody ""Three Apparently Drank Poison"" St. Petersburg Times (Florida) December 7 1988"
1989,Sarin / VX,Romania,Chemical,0,S,"During the uprising against the Ceausescu regime elements of the security services poisoned the water supply of the town of Sibiu using VX and Sarin. Reports vary on casualties - some say ""Several were taken to hospital and four lapsed into comas"" while others put the serious injury at five persons. "," Robert Rees and Judy Siegel ""J'Lem Restaurant Owner Arab Employees Questioned after Serving Poisoned Falafel"" The Jerusalem Post December 22 1989; Herb Keinon ""Restaurant Reopens After Employee Confesses to Poisoning"" The Jerusalem Post January 5 1990"
